Year,Month,Day,Hour,Minute,Second,Millisecond,Voltage,Current
2025,07,16,16,52,23,139,0000,0000
2025,07,16,16,52,23,239,0000,0000
2025,07,16,16,52,23,339,0000,0000
2025,07,16,16,52,23,439,0000,0000
2025,07,16,16,52,23,539,0000,0000
2025,07,16,16,52,23,639,0000,0000
2025,07,16,16,52,23,739,0000,0000
2025,07,16,16,52,23,839,0000,0000
2025,07,16,16,52,23,939,0000,0000
2025,07,16,16,52,24,039,0000,0000
2025,07,16,16,52,24,139,0000,0000
2025,07,16,16,52,24,239,0000,0000
2025,07,16,16,52,24,339,0000,0000
2025,07,16,16,52,24,439,0000,0000
2025,07,16,16,52,24,539,0000,0000
2025,07,16,16,52,24,639,0000,0000
2025,07,16,16,52,24,739,0000,0000
2025,07,16,16,52,24,839,0000,0000
2025,07,16,16,52,24,939,0000,0000
2025,07,16,16,52,25,039,0000,0000
2025,07,16,16,52,25,139,0000,0000
2025,07,16,16,52,25,239,0000,0000
2025,07,16,16,52,25,339,0000,0000
2025,07,16,16,52,25,439,0000,0000
2025,07,16,16,52,25,539,0000,0000
2025,07,16,16,52,25,639,0000,0000
2025,07,16,16,52,25,739,0000,0000
2025,07,16,16,52,25,839,0000,0000
2025,07,16,16,52,25,939,0000,0000
2025,07,16,16,52,26,039,0000,0000
2025,07,16,16,52,26,139,0000,0000
2025,07,16,16,52,26,239,0000,0000
2025,07,16,16,52,26,339,0000,0000
2025,07,16,16,52,26,439,0000,0000
2025,07,16,16,52,26,539,0000,0000
2025,07,16,16,52,26,639,0000,0000
2025,07,16,16,52,26,739,0000,0000
2025,07,16,16,52,26,839,0000,0000
2025,07,16,16,52,26,939,0000,0000
2025,07,16,16,52,27,039,0000,0000
2025,07,16,16,52,27,139,0000,0000
2025,07,16,16,52,27,239,0000,0000
2025,07,16,16,52,27,339,0000,0000
2025,07,16,16,52,27,439,0000,0000
2025,07,16,16,52,27,539,0000,0000
2025,07,16,16,52,27,639,0000,0000
2025,07,16,16,52,27,739,0000,0000
2025,07,16,16,52,27,839,0000,0000
2025,07,16,16,52,27,939,0000,0000
2025,07,16,16,52,28,039,0000,0000
2025,07,16,16,52,28,139,0000,0000
2025,07,16,16,52,28,239,0000,0000
2025,07,16,16,52,28,339,0000,0000
2025,07,16,16,52,28,439,0000,0000
2025,07,16,16,52,28,539,0000,0000
2025,07,16,16,52,28,639,0000,0000
2025,07,16,16,52,28,739,0000,0000
2025,07,16,16,52,28,839,0000,0000
2025,07,16,16,52,28,939,0000,0000
2025,07,16,16,52,29,039,0000,0000
2025,07,16,16,52,29,139,0000,0000
2025,07,16,16,52,29,239,0000,0000
2025,07,16,16,52,29,339,0000,0000
